slide,file,source,width,height,kb,kind,duplicate_of
8,s08-03-image120.png,image120.png,265,60,11,logo/graphic,
8,s08-04-image121.png,image121.png,200,200,12,logo/graphic,
8,s08-05-image122.png,image122.png,480,131,18,logo/graphic,
8,s08-06-image123.png,image123.png,357,390,34,logo/graphic,
8,s08-07-image124.png,image124.png,358,358,11,logo/graphic,
8,s08-08-image125.png,image125.png,600,385,75,photo,
8,s08-09-image126.png,image126.png,842,591,7,photo,
8,s08-10-image127.png,image127.png,500,281,26,logo/graphic,
8,s08-11-image128.png,image128.png,336,176,24,logo/graphic,
8,s08-12-image129.png,image129.png,350,98,10,logo/graphic,
8,s08-13-image130.png,image130.png,838,606,8,photo,
8,s08-14-image131.png,image131.png,512,1108,39,photo,
8,s08-15-image132.jpg,image132.jpeg,512,512,20,logo/graphic,
8,s08-16-image133.jpg,image133.jpeg,410,410,15,logo/graphic,
8,s08-17-image134.png,image134.png,260,114,5,logo/graphic,
9,s09-02-image135.png,image135.png,420,215,73,logo/graphic,
9,s09-03-image136.png,image136.png,468,317,40,logo/graphic,
9,s09-04-image137.png,image137.png,1265,1265,42,photo,
9,s09-05-image138.png,image138.png,1265,1265,53,photo,
9,s09-06-image139.png,image139.png,1265,1265,26,photo,
9,s09-07-image140.png,image140.png,357,107,15,logo/graphic,
9,s09-08-image141.png,image141.png,256,256,13,logo/graphic,
9,s09-09-image142.png,image142.png,260,114,1,logo/graphic,
9,s09-10-image143.png,image143.png,542,204,5,logo/graphic,
9,s09-11-image144.png,image144.png,300,102,7,logo/graphic,
10,s10-02-image145.jpg,image145.jpeg,389,120,13,logo/graphic,
10,s10-03-image146.png,image146.png,256,256,18,logo/graphic,
10,s09-07-image140.png,image140.png,357,107,15,logo/graphic,s09-07-image140.png
10,s10-05-image147.png,image147.png,615,155,70,logo/graphic,
10,s10-06-image148.jpg,image148.jpeg,600,512,27,photo,
10,s10-07-image149.png,image149.png,986,138,41,logo/graphic,
10,s10-08-image150.png,image150.png,467,355,45,logo/graphic,
10,s10-09-image151.jpg,image151.jpeg,516,224,19,logo/graphic,
10,s10-10-image152.jpg,image152.jpeg,672,512,80,photo,
10,s10-11-image153.jpg,image153.jpeg,512,512,20,logo/graphic,
10,s10-12-image154.png,image154.png,138,112,5,logo/graphic,
10,s10-13-image155.png,image155.png,300,226,19,logo/graphic,
11,s11-02-image156.png,image156.png,470,107,21,logo/graphic,
11,s11-03-image157.png,image157.png,393,96,32,logo/graphic,
11,s11-04-image158.png,image158.png,396,247,52,logo/graphic,
11,s11-05-image159.png,image159.png,497,417,18,logo/graphic,
11,s11-06-image160.jpg,image160.jpeg,800,360,66,photo,
12,s12-02-image161.png,image161.png,712,419,32,photo,
12,s12-03-image162.png,image162.png,270,270,117,logo/graphic,
12,s12-04-image163.png,image163.png,400,400,22,logo/graphic,
12,s12-05-image164.jpg,image164.jpeg,480,480,28,logo/graphic,
12,s12-06-image165.png,image165.png,328,299,39,logo/graphic,
12,s12-07-image166.jpg,image166.jpeg,300,300,29,logo/graphic,
12,s12-08-image167.jpg,image167.jpeg,349,406,25,logo/graphic,
12,s12-09-image168.jpg,image168.jpeg,432,432,32,logo/graphic,
12,s12-10-image169.jpg,image169.jpeg,404,410,64,logo/graphic,
12,s12-11-image170.jpg,image170.jpeg,356,358,25,logo/graphic,
12,s12-12-image171.png,image171.png,308,308,30,logo/graphic,
12,s12-13-image172.jpg,image172.jpeg,357,500,61,logo/graphic,
12,s12-14-image173.jpg,image173.jpeg,430,179,24,logo/graphic,
12,s12-15-image174.png,image174.png,316,285,36,logo/graphic,
12,s12-16-image175.jpg,image175.jpeg,312,381,36,logo/graphic,
12,s12-17-image176.png,image176.png,496,702,37,photo,
13,s13-01-image177.jpg,image177.jpeg,2151,1434,913,photo,
14,s14-01-image178.jpg,image178.jpeg,1420,2130,558,photo,
14,s14-02-image179.png,image179.png,182,97,2,logo/graphic,
14,s14-03-image180.svg,image180.svg,,,0,svg,
15,s15-01-image181.jpg,image181.jpeg,3456,1946,1443,photo,
15,s15-02-image182.jpg,image182.jpeg,1728,973,633,photo,
15,s15-03-image183.jpg,image183.jpeg,1639,1093,575,photo,
15,s15-04-image184.jpg,image184.jpeg,1639,1093,489,photo,
15,s15-05-image185.jpg,image185.jpeg,1639,1093,520,photo,
15,s15-06-image186.jpg,image186.jpeg,1639,1093,438,photo,
15,s15-07-image187.jpg,image187.jpeg,1728,973,458,photo,
15,s15-08-image188.jpg,image188.jpeg,1728,973,478,photo,
